ZVHS_102N015,-650843.6,-1081901.6,Jezerní p.
ZVHS_208-018,-755305.7,-1019717.1,Zlonický
CHMI_3316,-666017.4,-1107574.92,Sázava
ZVHS_102-042,-640525.3,-1068916.9,Ježděnka
ZVHS_218-012,-805226.4,-1114907.2,Březový p.
PVL_5016,-664771.58,-1106738.28,Břevnický potok(př.Sázavy)
ZVHS_217-047,-813729,-1083362,Bradava
ZVHS_110-015,-615307.6,-1054088.2,Štědrý p.
CHMI_3618,-466906.2,-1094365,Odra
CHMI_4002,-684045.28,-1046303.71,Cidlina
CHMI_3964,-642990.9,-1057787.2,Labe
PLA_127,-639320.9,-1042459.3,Orlice
CHMI_7049,-875887.76,-1045174.17,Hamerský potok
ZVHS_201-003,-704183.1,-1083408.8,Čestínský
ZVHS_220-027,-852639.9,-1070797.2,Úhlavka
ZVHS_217-009,-809669,-1100276.3,Víska
PVL_1074,-859360.77,-1055007.43,Kosový potok (př.Mže)
ZVHS_517-023,-556606.2,-1169164.2,Litava
CHMI_1206,-635635.93,-1197266.55,Dyje
ZVHS_201-040,-714688.3,-1068912.9,Jevanský
REF_116,-853405.51,-1018292.66,Teplá
CHMI_3950,-557881.49,-1199599.38,Morava
ZVHS_219-021,-735084.1,-1127851.7,Maršovský p.
CHMI_1045,-743551.65,-1046337.31,Vltava
PVL_3360,-777813.2,-1041529.46,Klíčava
CHMI_1104,-807244.59,-1002181.88,Ohře
CHMI_1087,-783622.5,-1044347.06,Berounka
PMO_ZPPNi020,-520847.95,-1193499.26,Nivnička (Bystřička)
CHMI_5050,-755551.73,-1066351.28,Bojovský potok
POD_5561,-513805,-1108887,Odra
PLA_125,-603891.1,-1073956.3,Třebovka
REF_124,-788361.72,-1050204.78,Úpořský potok
REF_099,-758342.44,-980971.94,Prutký potok
CHMI_1115,-802918.31,-1006911.59,Liboc
PLA_82,-679913.1,-971157.3,Červený potok
CHMI_3021,-745324.75,-963587.1,Labe
PVL_2727,-752061.78,-1130331.52,Smutná
ZVHS_207-015,-745584.77,-1172029.04,Spolský p.
PMO_SPPBi013,-609638.45,-1150259,Bílý potok
ZVHS_307N001,-814331.7,-1024339.3,Mlýnecký p.
REF_135,-601576.94,-1052394.51,Zdobnice
PMO_BPTKa002,-477654.53,-1157682.48,Malá Stanovnice (Zabitá)
ZVHS_507-010,-560593.5,-1131218.9,Romže (Valová)
PVL_2951,-796508.31,-1108588.85,Lomnice
POH_1302,-764858,-959458,Slatina
PVL_2045,-854550.11,-1097491.06,Zubřina
CHMI_7209,-819776.59,-1068958.11,Úslava
ZVHS_506-036,-543311.11,-1133823.14,Olešnice
PLA_182,-607622,-999537,Stěnava
ZVHS_202-025,-778415,-1085884,Blatská stoka
POD_5557,-544862.1,-1040495.6,Černý potok
POH_1073,-771947,-965281,Mohelnice
ZVHS_214N001,-810341.9,-1144358.5,Zdíkovský p.
ZVHS_209-020,-836210,-1105264,Drnový potok
POD_5320,-466503.9,-1120084.4,Morávka
PLA_144,-680613.3,-1064358.9,Klejnárka
PMO_XPPDS020,-555795.62,-1071052.08,Desná
CHMI_3596,-533740.65,-1043471,Bělá
REF_085,-545394.85,-1143816.87,Morava
PVL_3629,-820699.33,-1045210.01,Mladotický potok
CHMI_1164,-493716.25,-1119711.04,Jičínka
CHMI_1111,-867182.61,-1013547.78,Svatava
PMO_SPPBc003,-617963.32,-1121798.26,Bystřice
ZVHS_401-072,-538162.2,-1040176.4,Kunětička
CHMI_1188,-603942.62,-1190022.31,Jihlava
