1247_S,-631601.6,-1033322.8
1385_S,-603529.6,-1073931.4
1368_S,-633348,-1019801
5021,-478733.4,-1112149.4
5024,-476120.7,-1103351.9
1273_S,-650843.6,-1081901.6
1303_S,-663093.8,-1013756.1
1169,-813038,-984550
5022,-479402.6,-1107842.3
1172_S,-682690.2,-1068260.1
