id,lat,lng,severity, over
5413,49.7283545493,18.6260760370,0,
10151,50.1023233580,12.2553326244,2,"Chrom"
5319,49.6233493906,18.4768790588,1,
JPTMo004,49.4240377923,15.9868000219,0,
SPPSi027,49.5673840716,16.5665236504,1,
5578,49.7772594343,18.3757695982,0,
4120_S,50.6717697512,14.7212782985,3,"Bisfenol A, Chlorbenzen"
1155,49.7187665288,18.6297433999,3,"Olovo, Benzen"
1077,50.5484557796,13.5926118155,3,"hexachlorbenzen, dichlorbenzen"
JPPRc009,49.0486117071,16.1480079389,3,"Měď, o,p'DDT"
1126,50.7496770057,14.2335079894,2,"Měď, Rtut, p,p'DDT"
3618,49.9034835705,18.3269073881,1,
1144,49.9329364755,17.9415490011,1,
YPPMB006,49.3442937000,17.3765529257,2,"Zinek"
1176,49.5521321924,16.3322655692,2,"hexachlorbenzen, Benzen"
1161,50.4774110335,13.1486934956,1,
YPPHa004,49.2808843309,17.0401853734,0,
3607,49.7341091993,18.4462155991,0,
1198,50.8570042662,14.5239136476,3,"Nikl, Olovo"
XPPOl012,49.5065376542,17.4178809096,1,
1209,48.9586141523,17.0942732401,2,"Kadmium"
3468,50.2278205132,12.8365266359,0,
1206,48.8321116238,16.1551965065,2,"Rtut, Nikl, dichlorbenzen"
BPTKa003,49.3486936437,18.2371727698,1,
KPPKY013,48.8103228289,17.0587484478,2,"o,p'DDT, Nonylfenol"
3950,48.8856950607,17.2124187101,2,"DDT"
3688,49.2257546817,16.5363992658,1,
BPPJu005,49.4994397412,17.8997002885,3,"Měď, p,p'DDT, dichlorbenzen"
1141,50.1773350567,12.9219716293,0,
1152,49.8478527733,18.2955454959,2,"Nonylfenol"
1104,50.3689453809,13.4466778099,1,
1200,49.5325704731,16.5816755285,1,
5301,49.4588869956,18.4590833083,3,"Měď, Rtut, Oktylfenol"
3604,49.7719829713,18.2978526082,1,
1204,49.0829146093,15.9169864740,0,
1168,49.3955103269,17.2665091694,1,
1164,49.6554485113,17.9866881110,1,
15389,50.7542268220,14.6649817691,3,"o,p'DDT, Nonylfenol, Chlorbenzen"
1167,49.7188749317,17.1640704017,2,"Rtut, Zinek, Oktylfenol"
YPTOp002,49.3208470379,16.9053548783,0,
YPPHa009,49.2830082867,16.9955743112,0,
3453,50.2780734058,12.9881312617,2,"Zinek, hexachlorbenzen"
3482,50.2741310068,12.1456941694,2,"Olovo, DDT, Benzen"
1115,50.3326758170,13.5166870122,3,"hexachlorbenzen, Nonylfenol, dichlorbenzen"
3465,50.9171959346,14.3835335670,2,"Chrom, Nikl"
4008,50.0414526605,16.9126509015,3,"o,p'DDT"
BPTKa002,49.3279440947,18.2534884419,1,
1197,50.6882763915,13.5834115559,3,"Měď, hexachlorbenzen, Benzen"
1102,50.0868981483,12.2823831175,2,"Kadmium, Olovo, Bisfenol A"
4109_S,50.1116339503,12.3711328057,1,
3664,49.4501596339,17.9714239073,3,"Měď"
1114,50.6734574182,14.5006065670,2,"p,p'DDT, dichlorbenzen"
3485,50.3174182515,12.1006901142,1,
JPPJi011,49.2262731709,15.8319707793,0,
BPPVB009,49.3119830062,18.0060991487,3,"Chrom"
4574_S,50.6792314977,14.0158602725,2,"Rtut, p,p'DDT"
1460,50.6221831048,13.5870890218,2,"Olovo, Oktylfenol, Benzen"
1558,50.3092980512,12.9371410889,3,"Nonylfenol"
3570,50.2729789848,17.3971318847,0,
SPPPu034,49.3494310005,16.6545925248,3,"Zinek"
4011,49.0336217556,17.6166622177,1,
YPPHa019,49.3254201669,17.1493330364,2,"Bisfenol A"
5557,50.3209795991,17.1720516199,1,
5012,49.6850421723,17.9904321572,2,"Olovo, Bisfenol A"
1073,50.7436317075,13.8632412491,2,"hexachlorbenzen, Benzen"
4118_S,50.6536349839,14.0037621256,0,
1495,50.3703247341,13.3837960369,2,"Zinek, DDT, hexachlorbenzen"
YPPMt022,49.3392254310,17.4026517469,3,"Rtut, Nikl, Bisfenol A"
3459,50.4829869526,13.0661109647,2,"Nikl, hexachlorbenzen"
5423,49.9211644898,18.3755069038,1,
5320,49.6733595002,18.3627023380,3,"Kadmium, Benzen, Chlorbenzen"
10184,50.1840679247,13.4487350515,1,
4116_S,50.1845472210,13.4487074142,0,
1117,50.3656238244,13.7050783171,3,"Rtut, Bisfenol A, Benzen"
5572,49.5536229577,18.3810263839,1,
3596,50.3042519542,17.3315566446,1,
1487,50.4515489911,13.6872044867,3,"dichlorbenzen"
1110,50.1046652272,12.4836969718,1,
3955,48.9647027939,15.6738021153,2,"Zinek"
5561,49.7358933290,17.6956763824,1,
1302,50.8045642702,13.9509106599,0,
1197,48.8246823322,16.4675180197,0,
1188,48.9284053461,16.5737977339,2,"DDT"
2814_S,50.4257762117,13.9284633359,2,"p,p'DDT"
